,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,Date,result_numeric,lon,lat
64,https://environment.data.gov.uk/water-quality/sampling-point/SW-72930188/sample/3404132/observation/6396,SW-72930188,RIVER TORRIDGE AT KINGSLEY MILL ABOVE BLACK TORRINGTON STW                 ALTERNATIVE HISTORIC DATA ON URN WSTW3026A,246960,106080,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-19 14:45:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,55,NEPHELOMETRIC TURBIDITY UNITS,2020-03-19,55.0,-4.174664255155116,50.83396409611117
65,https://environment.data.gov.uk/water-quality/sampling-point/SW-72930937/sample/3403269/observation/6396,SW-72930937,PULWORTHY BROOK AT LEWMOOR BRIDGE,250700,102880,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 10:20:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,39,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,39.0,-4.120289127360429,50.80618529738532
66,https://environment.data.gov.uk/water-quality/sampling-point/SW-72940121/sample/3403486/observation/6396,SW-72940121,RIVER OKEMENT AT WOODHALL BRIDGE,258463,103403,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-12 11:14:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7,NEPHELOMETRIC TURBIDITY UNITS,2020-03-12,7.0,-4.010389960852656,50.81283548356972
67,https://environment.data.gov.uk/water-quality/sampling-point/SW-72940220/sample/3402882/observation/6396,SW-72940220,WEST OKEMENT RIVER AT OKEHAMPTON HOSPITAL,258652,94709,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-02 07:30:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.6,NEPHELOMETRIC TURBIDITY UNITS,2020-03-02,1.6,-4.004365156353981,50.73474809226592
68,https://environment.data.gov.uk/water-quality/sampling-point/SW-73020127/sample/3404133/observation/6396,SW-73020127,RIVER TAW AT CHAPELTON FOOTBRIDGE,258220,126100,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-19 13:33:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,10,NEPHELOMETRIC TURBIDITY UNITS,2020-03-19,10.0,-4.0226637948416455,51.016749030650935
69,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030120/sample/3404134/observation/6396,SW-73030120,RIVER TAW AT TAW BRIDGE,267294,106589,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-19 12:50:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,6.6,NEPHELOMETRIC TURBIDITY UNITS,2020-03-19,6.6,-3.8862689240641832,50.843562392879285
70,https://environment.data.gov.uk/water-quality/sampling-point/SW-81121470/sample/3403270/observation/6396,SW-81121470,RIVER MEAVY AT BURRATOR RESERVOIR SURFACE - ADDITIONAL HISTORIC DATA ON URN R11B028,255142,68037,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 12:06:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.3,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,1.3,-4.043652643233237,50.494179299903884
71,https://environment.data.gov.uk/water-quality/sampling-point/SW-81231133/sample/3402884/observation/6396,SW-81231133,RIVER TAVY AT DENHAM BRIDGE,247699,67856,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-02 10:31:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,3.1,NEPHELOMETRIC TURBIDITY UNITS,2020-03-02,3.1,-4.148438148044896,50.49066359566926
72,https://environment.data.gov.uk/water-quality/sampling-point/SW-81232403/sample/3403420/observation/6396,SW-81232403,RIVER BURN PRIOR TO RIVER TAVY,249802,76175,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-11 13:57:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.1,NEPHELOMETRIC TURBIDITY UNITS,2020-03-11,2.1,-4.122165284595979,50.56596810326315
73,https://environment.data.gov.uk/water-quality/sampling-point/SW-81241110/sample/3403488/observation/6396,SW-81241110,RIVER WALKHAM AT GRENOFEN BRIDGE,249007,70972,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-12 07:58:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.2,NEPHELOMETRIC TURBIDITY UNITS,2020-03-12,1.2,-4.131272838542394,50.51900520258495
74,https://environment.data.gov.uk/water-quality/sampling-point/SW-81250144/sample/3403051/observation/6396,SW-81250144,RIVER TAMAR AT GUNNISLAKE BRIDGE,243493,72436,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-04 11:53:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7.4,NEPHELOMETRIC TURBIDITY UNITS,2020-03-04,7.4,-4.209607768602243,50.53071167919611
75,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271202/sample/3403421/observation/6396,SW-81271202,RIVER THRUSHEL AT TINHAY BRIDGE,239380,85380,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-11 11:41:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,16,NEPHELOMETRIC TURBIDITY UNITS,2020-03-11,16.0,-4.273189696339088,50.645908533262215
76,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271225/sample/3403254/observation/6396,SW-81271225,RIVER THRUSHEL AT STOWFORD BRIDGE,242800,87350,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 10:06:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,35,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,35.0,-4.225693050552815,50.66454426805842
77,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271235/sample/3403699/observation/6396,SW-81271235,RIVER THRUSHEL D/S BREAZLE WATER,244649,89099,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-18 08:17:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,8.4,NEPHELOMETRIC TURBIDITY UNITS,2020-03-18,8.4,-4.200285986619573,50.680757548504666
78,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271510/sample/3403312/observation/6396,SW-81271510,RIVER WOLF AT REXON BR. BELOW BROADWOODWIDGER STW,241330,88850,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 09:50:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,41,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,41.0,-4.247119877280195,50.677624032487415
79,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271593/sample/3403271/observation/6396,SW-81271593,RIVER WOLF AT WEEK'S MILL BRIDGE,244610,94230,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 07:57:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,15,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,15.0,-4.202998232761277,50.726854539484954
